page_id,route,page_title,surface_kind,roles,templates,source_contract_status,visual_review,keyboard_and_screen_reader,responsive_and_zoom,workflow_validation,reviewer,findings,signoff
UI-PAGE-9742C80CF8,/,Sign in,page,,pages/auth/login.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-D4F8C108E9,/accounts,Fund Disbursement Dashboard,partial,ACCOUNTANT; ADMIN,partials/finance/accountant_root.html; partials/finance/accountant_detail.html; pages/accounts/dashboard.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-252D9AB81D,/accounts/,Fund Disbursement Dashboard,partial,ACCOUNTANT; ADMIN,partials/finance/accountant_root.html; partials/finance/accountant_detail.html; pages/accounts/dashboard.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-E2B7D125EC,/accounts/accountability,Accountability Tracking - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/accountability.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-F3E2C55053,/accounts/accountability/,Accountability Tracking - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/accountability.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-3815BDB66D,/accounts/activities/<str:activity_id>,Activity Finance Detail - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/activity_finance_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-9D3EC615DF,/accounts/activities/<str:activity_id>/,Activity Finance Detail - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/activity_finance_detail.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-5839BCA47E,/accounts/activities/<str:activity_id>/disburse,Finance Mark Disbursed,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-10EA99BDF4,/accounts/activities/<str:activity_id>/netsuite-id,Finance Netsuite Id,action,ACCOUNTANT; ADMIN,,not-applicable-nonvisual,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-93CF5F55E1,/accounts/activity-evidence/<str:activity_id>,Activity Evidence Review,page,ACCOUNTANT; ADMIN,pages/accounts/activity_evidence.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-A0ACEFE4E8,/accounts/advances,Advances Queue - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/ready_for_advance.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
UI-PAGE-105BE7A5EB,/accounts/advances/,Advances Queue - Edify Command Center,page,ACCOUNTANT; ADMIN,pages/accounts/ready_for_advance.html,pass-automated-contract,Pending independent review,Pending,Pending,Pending,,,Not signed off
