id,priority,area,finding,evidence,proposal,suggested_owner,status,verification
F-01,High,Finance,Selected batch payments ignored by export,Browser + isolated view reproduction + source,Export selected IDs; validate scope and eligibility; remove silent truncation,Finance workflow engineer,Fixed — automated tests,apps/fund_requests/test_money_unit_regression.py::BatchPaymentsSelectionTest (4 tests)
F-02,Medium,Directory / legacy pagination,Ellipsis submitted as a page number,Browser + template reproduction + source,Normalize page tokens and share pager; keep gaps noninteractive,Frontend engineer,Fixed — automated tests,apps/frontend/test_directory_controls_audit.py::PaginationGapTest; tests/audits/test_controls_reproductions.py::test_directory_gap_is_not_a_button
F-03,Medium,School directory,No-match state claims registry is empty,Browser + template reproduction,"Separate filtered-empty, scoped-empty and empty-registry messages",Frontend / product,Fixed — automated tests,apps/frontend/test_directory_controls_audit.py::DirectoryEmptyStateTest (2 tests); tests/audits/test_controls_reproductions.py::test_directory_no_matches_does_not_claim_empty_registry
F-04,Medium,Planning cluster cards,Expansion lacks accessible name and state,Source confirmed; live verification pending,Use one semantic named button or details/summary with focus states,Frontend / accessibility reviewer,Fixed — automated tests,apps/frontend/test_directory_controls_audit.py::PlanningClusterDisclosureTest
F-05,Medium,Shared metrics,Tooltips contain query/code provenance,Browser + source,Separate reviewed user explanations from diagnostic provenance,Product content / metrics engineer,Fixed — automated tests,apps/core/tests/test_metric_user_explanations.py (3 tests)
F-06,Medium,Analytics,Inbox snapshot drops current filters,Isolated handler reproduction + source,Carry canonical filters through drawer and delivery service,Analytics engineer,Fixed — automated tests,apps/core/tests/test_analytics_dashboard.py::AnalyticsDashboardTest::test_the_snapshot_carries_the_filters_on_screen; tests/audits/test_controls_reproductions.py::test_snapshot_passes_the_requested_period_to_delivery
G-01,High verification gap,Audit tooling,Visual collector only asserts sample count,Source confirmed,Add failing visual/accessibility assertions and real workflow tests,QA automation engineer,Fixed — automated tests,"e2e/ui-design-audit.spec.js (27 tests: 26 sampled crawl pages × 9 viewport/theme combinations, plus the self-test)"
F-07,Medium,Planning calendars,Saved first-of-month date opens prior month west of UTC,Actual JavaScript snippet under two process timezones,Use date-only components; consolidate calendar; timezone regression tests,Frontend engineer,Fixed — automated tests,tests/js/calendar-dates.test.cjs; tests/audits/calendar-timezone-reproduction.cjs
F-08,High,Dashboard tabs,Rejected tab response detaches the last valid panel,Actual JavaScript script with HTMX non-swapping error event,Detach only for committed replacement; restore state on failure/cancellation,Frontend engineer,Fixed — automated tests,tests/js/view-panels.test.cjs (2 tests); tests/audits/dashboard-error-reproduction.cjs
G-02,High verification gap,Test environment,Tests inherit shared application Redis cache,Verified configured backend and absence of key prefix,Audit runner now isolates cache; establish guarded dedicated test settings,QA / platform engineer,Fixed — automated tests,apps/core/tests/test_test_cache_isolation.py (3 tests)
